Season,PTS
1961-62,118.8
1960-61,118.1
1966-67,117.4
1969-70,116.7
1967-68,116.6
1965-66,115.5
1962-63,115.3
1959-60,115.3
1970-71,112.4
1968-69,112.3
2020-21,112.1
2019-20,111.8
2018-19,111.2
1963-64,111
1984-85,110.8
2021-22,110.6
1964-65,110.6
1978-79,110.3
1985-86,110.2
1971-72,110.2
1983-84,110.1
1986-87,109.9
1979-80,109.3
1988-89,109.2
1981-82,108.6
1982-83,108.5
1977-78,108.5
1987-88,108.2
1958-59,108.2
1980-81,108.1
1972-73,107.6
1989-90,107
1957-58,106.6
1976-77,106.5
2017-18,106.3
1990-91,106.3
1973-74,105.7
2016-17,105.6
1992-93,105.3
1991-92,105.3
1975-76,104.3
2015-16,102.7
1974-75,102.6
1993-94,101.5
1994-95,101.4
2013-14,101
2009-10,100.4
2014-15,100
2008-09,100
2007-08,99.9
2010-11,99.6
1956-57,99.6
1995-96,99.5
1955-56,99
2006-07,98.7
2012-13,98.1
1999-00,97.5
2004-05,97.2
2005-06,97
1996-97,96.9
2011-12,96.3
1997-98,95.6
2001-02,95.5
2002-03,95.1
2000-01,94.8
2003-04,93.4
1954-55,93.1
1998-99,91.6
1950-51,84.1
1951-52,83.7
1952-53,82.7
1949-50,80
1948-49,80
1953-54,79.5
1947-48,72.7
1946-47,67.8
